# 'RoadGravel_0_0.h5', 'Cement_0_0.h5', 'RoughGravel_0_0.h5', 'Asphalt_0_0.h5', 'Grass_0_0.h5', 'Puddle_0_0.h5', 'AsphaltWet_0_0.h5'
7.067924528301887221e+01,1.616261682242990787e+02,8.310476190476190084e+01,6.880733944954128845e+01,1.358165137614678883e+02,7.739622641509433265e+01,5.900000000000000000e+01
7.288679245283019270e+01,1.691962616822429766e+02,8.320000000000000284e+01,6.902752293577981391e+01,1.386605504587155906e+02,8.466037735849056389e+01,6.107692307692308020e+01
7.501886792452830832e+01,1.770467289719626081e+02,8.318095238095237676e+01,6.926605504587155338e+01,1.421651376146789119e+02,9.273584905660376876e+01,6.311538461538461320e+01
7.705660377358491075e+01,1.846915887850467186e+02,8.312380952380952692e+01,6.972477064220183252e+01,1.456146788990825769e+02,1.008301886792452819e+02,6.511538461538461320e+01
7.913207547169811562e+01,1.929158878504672998e+02,8.310476190476190084e+01,7.025688073394495348e+01,1.491926605504587258e+02,1.094339622641509493e+02,6.730769230769230660e+01
8.169811320754716633e+01,2.008971962616822395e+02,8.310476190476190084e+01,7.187155963302751616e+01,1.528807339449541303e+02,1.184150943396226410e+02,6.957692307692308020e+01
8.441509433962264097e+01,2.095514018691588660e+02,8.310476190476190084e+01,7.311926605504586973e+01,1.566055045871559628e+02,1.275849056603773590e+02,7.196153846153846700e+01
8.798113207547169168e+01,2.186542056074766265e+02,8.308571428571428896e+01,7.445871559633027914e+01,1.605504587155963350e+02,1.374528301886792576e+02,7.448076923076922640e+01
9.150943396226415416e+01,2.281121495327102764e+02,8.297142857142857508e+01,7.590825688073394417e+01,1.644220183486238511e+02,1.477169811320754604e+02,7.707692307692308020e+01
9.526415094339623124e+01,2.377009345794392630e+02,8.289523809523809916e+01,7.768807339449541871e+01,1.683669724770642233e+02,1.581132075471698215e+02,8.017307692307691980e+01
9.920754716981132049e+01,2.476261682242990787e+02,8.289523809523809916e+01,7.917431192660549755e+01,1.726055045871559628e+02,1.693207547169811278e+02,8.342307692307691980e+01
1.031886792452830122e+02,2.578130841121495109e+02,8.293333333333333712e+01,8.104587155963302791e+01,1.766422018348623908e+02,1.812830188679245396e+02,8.705769230769230660e+01
1.072264150943396288e+02,2.682990654205607370e+02,8.278095238095238528e+01,8.299082568807340010e+01,1.809174311926605583e+02,1.934150943396226410e+02,9.044230769230769340e+01
1.113773584905660385e+02,2.792897196261682211e+02,8.278095238095238528e+01,8.504587155963302791e+01,1.851743119266054975e+02,2.055094339622641542e+02,9.390384615384616041e+01
1.152641509433962312e+02,2.905607476635514104e+02,8.276190476190475920e+01,8.704587155963302791e+01,1.895963302752293487e+02,2.184150943396226410e+02,9.759615384615383959e+01
1.193962264150943327e+02,3.019065420560747839e+02,8.289523809523809916e+01,8.906422018348624192e+01,1.938715596330275162e+02,2.319056603773584868e+02,1.019038461538461604e+02
1.234339622641509493e+02,3.138504672897196315e+02,8.291428571428571104e+01,9.110091743119265573e+01,1.985321100917431068e+02,2.454716981132075375e+02,1.060576923076923066e+02
1.279433962264150892e+02,3.260373831775701206e+02,8.281904761904762324e+01,9.319266055045871155e+01,2.033211009174311812e+02,2.602075471698113347e+02,1.105192307692307736e+02
1.328113207547169736e+02,3.385794392523364422e+02,8.283809523809523512e+01,9.530275229357798139e+01,2.084770642201834789e+02,2.751886792452830264e+02,1.150576923076923066e+02
1.379622641509433834e+02,3.517943925233644791e+02,8.291428571428571104e+01,9.761467889908256268e+01,2.137981651376146885e+02,2.904150943396226694e+02,1.198461538461538396e+02
1.439056603773584868e+02,3.650467289719626365e+02,8.291428571428571104e+01,9.976146788990826053e+01,2.194128440366972370e+02,3.064150943396226694e+02,1.250576923076923066e+02
1.497358490566037688e+02,3.786168224299065628e+02,8.289523809523809916e+01,1.031009174311926557e+02,2.247522935779816464e+02,3.230566037735849250e+02,1.302692307692307736e+02
1.556226415094339757e+02,3.925981308411214741e+02,8.297142857142857508e+01,1.059266055045871582e+02,2.304036697247706513e+02,3.404150943396226694e+02,1.357692307692307736e+02
